CATEGORÍA,SUBCATEGORÍA,ESTÁ EN PRO???,TÍTULO / HIPERVÍNCULO,URL ANTIGUA,URL NUEVA,IDIOMA,AUTOR,TRADUCCIÓN,URL CONTENIDO  INGLÉS
DESARROLLO,,,Portando módulo tablesort de D7 a D8,https://www.ladrupalera.com/drupal/desarrollo/drupal8/portando-modulo-tablesort-de-d7-d8,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/portando-modulo-tablesort-de-d7-d8,,,,
DESARROLLO,,,Pasar del diseño al desarrollo al instante,https://www.ladrupalera.com/drupal/desarrollo/diseno-visual/pasar-del-diseno-al-desarrollo-al-instante,https://www.ladrupalera.com/es/drupal/desarrollo/diseno-visual/pasar-del-diseno-al-desarrollo-al-instante,,,,
DESARROLLO,,,Creación de un triángulo en Sass,https://www.ladrupalera.com/drupal/desarrollo/css-html/creacion-de-un-triangulo-en-sass,https://www.ladrupalera.com/es/drupal/desarrollo/css-html/creacion-de-un-triangulo-en-sass,,,,
DESARROLLO,,,Implementa hook_forms() en tu proyecto!,https://www.ladrupalera.com/drupal/desarrollo/drupal7/implementa-hookforms-en-tu-proyecto,https://www.ladrupalera.com/es/drupal/desarrollo/drupal7/implementa-hookforms-en-tu-proyecto,,,,
DESARROLLO,,,Coffeescript: Javascript con esteroides,https://www.ladrupalera.com/drupal/desarrollo/javascript/coffeescript-javascript-con-esteroides,https://www.ladrupalera.com/es/drupal/desarrollo/javascript/coffeescript-javascript-con-esteroides,,,,
DESARROLLO,,,Iniciándonos en grids con Susy 2,https://www.ladrupalera.com/drupal/desarrollo/css-html/iniciandonos-en-grids-con-susy-2,https://www.ladrupalera.com/es/drupal/desarrollo/css-html/iniciandonos-en-grids-con-susy-2,,,,
DESARROLLO,,,"RVM, Gemas y Drupal",https://www.ladrupalera.com/drupal/desarrollo/instalacion/rvm-gemas-y-drupal,https://www.ladrupalera.com/es/drupal/desarrollo/instalacion/rvm-gemas-y-drupal,,,,
DESARROLLO,,,Modales con CTools Auto-modal,https://www.ladrupalera.com/drupal/desarrollo/modulos/modales-con-ctools-auto-modal,https://www.ladrupalera.com/es/drupal/desarrollo/modulos/modales-con-ctools-auto-modal,,,,
DESARROLLO,,,RESTfull API en Drupal con Services,https://www.ladrupalera.com/drupal/desarrollo/drupal7/restfull-api-en-drupal-con-services,https://www.ladrupalera.com/es/drupal/desarrollo/drupal7/restfull-api-en-drupal-con-services,,,,
DESARROLLO,,,"Placeholder vs Mixins, o como no repetirse",https://www.ladrupalera.com/drupal/desarrollo/css-html/placeholder-vs-mixins-o-como-no-repetirse,https://www.ladrupalera.com/es/drupal/desarrollo/css-html/placeholder-vs-mixins-o-como-no-repetirse,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
COMUNIDAD DRUPAL,,,"La Drupalera, finalista de los premios Innovation Talks 8x8",https://www.ladrupalera.com/drupal/comunidad-drupal/noticias/la-drupalera-finalista-de-los-premios-innovation-talks-8x8,https://www.ladrupalera.com/es/drupal/comunidad-drupal/noticias/la-drupalera-finalista-de-los-premios-innovation-talks-8x8,,,,
COMUNIDAD DRUPAL,,,Asistimos a deSymfony 2017 en Castellón,https://www.ladrupalera.com/drupal/comunidad-drupal/noticias/resumen-desymfony-2017,https://www.ladrupalera.com/es/drupal/comunidad-drupal/noticias/resumen-desymfony-2017,,,,
COMUNIDAD DRUPAL,,,La Drupalera te trae los eventos Drupal más refrescantes del verano,https://www.ladrupalera.com/drupal/comunidad-drupal/noticias/la-drupalera-te-trae-los-eventos-drupal-mas-refrescantes-del-verano,https://www.ladrupalera.com/es/drupal/comunidad-drupal/noticias/la-drupalera-te-trae-los-eventos-drupal-mas-refrescantes-del-verano,,,,
COMUNIDAD DRUPAL,,,9 + 1 cuentas de Twitter imprescindibles que todo drupalero debe seguir,https://www.ladrupalera.com/drupal/comunidad-drupal/recursos/cuentas-de-twitter-imprescindibles-para-drupaleros,https://www.ladrupalera.com/es/drupal/comunidad-drupal/recursos/cuentas-de-twitter-imprescindibles-para-drupaleros,,,,
COMUNIDAD DRUPAL,,,"La Drupalera, presente en los European Drupal Business Days",https://www.ladrupalera.com/drupal/comunidad-drupal/la-drupalera-presente-en-los-european-drupal-business-days,https://www.ladrupalera.com/es/drupal/comunidad-drupal/la-drupalera-presente-en-los-european-drupal-business-days,,,,
COMUNIDAD DRUPAL,,,Hablamos de Drupal 8 y SEO en la DrupalCamp 2017,https://www.ladrupalera.com/drupal/comunidad-drupal/drupalcamp/hablamos-de-drupal-8-y-seo-en-la-drupalcamp-2017,https://www.ladrupalera.com/es/drupal/comunidad-drupal/drupalcamp/hablamos-de-drupal-8-y-seo-en-la-drupalcamp-2017,,,,
COMUNIDAD DRUPAL,,,La Drupalera dará dos charlas en la Drupalcamp 2017,https://www.ladrupalera.com/drupal/comunidad-drupal/drupalcamp/la-drupalera-dara-dos-charlas-en-la-drupalcamp-2017,https://www.ladrupalera.com/es/drupal/comunidad-drupal/drupalcamp/la-drupalera-dara-dos-charlas-en-la-drupalcamp-2017,,,,
COMUNIDAD DRUPAL,,,Acudimos a los Drupal Developer Days 2015 en Montpellier,https://www.ladrupalera.com/drupal/comunidad-drupal/drupaldevdays/acudimos-los-drupal-developer-days-2015-en-montpellier,https://www.ladrupalera.com/es/drupal/comunidad-drupal/drupaldevdays/acudimos-los-drupal-developer-days-2015-en-montpellier,,,,
COMUNIDAD DRUPAL,,,Todos los eventos Drupal del mes de abril,https://www.ladrupalera.com/drupal/comunidad-drupal/noticias/todos-los-eventos-drupal-del-mes-de-abril,https://www.ladrupalera.com/es/drupal/comunidad-drupal/noticias/todos-los-eventos-drupal-del-mes-de-abril,,,,
COMUNIDAD DRUPAL,,,"La Drupalera, nominada a los Open Awards 2017",https://www.ladrupalera.com/drupal/comunidad-drupal/noticias/la-drupalera-nominada-los-open-awards-2017,https://www.ladrupalera.com/es/drupal/comunidad-drupal/noticias/la-drupalera-nominada-los-open-awards-2017,,,,
